filename,tenant_name,revenue,website,industry,business_description,credit_score,credit_rating,probability_of_default
FP TCE_v7.45 - Polyart (2025-03-12).pdf,resistant substrates used in multiple industries. Industry Risk Assessment KPI Rating Contribution Industry Group Description,$516M,https://www.polyart.com/,Synthetic paper and specialty-coated material manufacturing.,Synthetic paper and specialty-coated material manufacturing.,4.00,CCC,
FP TCE_v7.45 - Five Star Food Service (2025-03-27).pdf,"Five Star Food Service, Inc.",$648.2M,https://www.fivestarbreaktime.com,Unattended retail and workplace foodservice provider.,Unattended retail and workplace foodservice provider.,6.50,,
FP TCE_v7.44 - Insight Enterprise (2024-10-11).pdf,"Insight Enterprises, Inc.",$9175.8M,https://www.insight.com,Global provider of IT and digital solutions.,Global provider of IT and digital solutions.,6.50,,
FP TCE_v6.68 - Reliable Restoration (2024-06-17)(1).pdf,"Reliable Restoration, LLC",$18.9M,https://choosereliable.com/,Provides restoration and construction services in Southeast.,Provides restoration and construction services in Southeast.,,,
FP TCE_v7.44 - Thaler Machine Holdings (2024-11-12).pdf,"Thaler Machine Holdings, LLC and Subsidiary (Thaler Machine Company, Inc.)",$19.9M,https://www.thalermachine.com/,Precision components for aerospace and defense industries.,Precision components for aerospace and defense industries.,4.00,,
FP TCE_v7.44 - CurlMix (2024-11-21).pdf,"Listener Brands, Inc.",$4.6M,https://curlmix.com/,Natural hair care for curly textures.,Natural hair care for curly textures.,2.50,,
FP TCE_v7.44 - CSG (2025-02-12).pdf,"Clean Solutions Group, Inc. (CSG)",$112.0M,https://cleangrp.com/,"Produces sustainable nonwoven air, sanitation and floormat products.","Produces sustainable nonwoven air, sanitation and floormat products.",5.50,,
FP TCE_v7.53 - Base Power (2025-07-14).pdf,"Base Power, Inc.",$126M,https://www.basepowercompany.com/,Residential electricity with battery backup service.,Residential electricity with battery backup service.,2.50,C,
FP TCE_v7.45 - All Metals (2025-03-20).pdf,"All Metals Industries Holdings, LLC",$49M,https://allmetals.us/,Metal distributor serving industrial and commercial markets.,Metal distributor serving industrial and commercial markets.,3.00,CC,
FP TCE_v6.66 - Whitaker Group (2024-04-12).pdf,"The Whitaker Group, Inc.",$83.9M,https://thewhitakergrp.com/,Retail fashion stores,Retail fashion stores,,,
FP TCE_v7.51 - PTI (2025-04-30).pdf,"Processing Technologies International, LLC (PTI)",$34.7M,https://www.ptiextruders.com/,Designs and manufactures plastic sheet extruders.,Designs and manufactures plastic sheet extruders.,4.50,,
FP TCE_v7.44 - Caseys Coffee (2024-11-01).pdf,"Casey's Coffee, Inc.",$8M,https://thecaseyscoffee.com/menu/,Specialty coffee shop with diverse menu.,Specialty coffee shop with diverse menu.,3.50,CC,
FP TCE_v7.44 - Pan-Y-Mas (2024-10-14).pdf,"Pan Y Mas, Inc.",$24M,https://pan-y-mas.com/,Wholesale distributor of baked goods and groceries.,Wholesale distributor of baked goods and groceries.,4.00,CCC,
FP TCE_v7.45 - Trident EXIM (2025-03-10).pdf,"Trident EXIM, LLC",$1061M,,Wholesale distributor of grocery products.,Wholesale distributor of grocery products.,4.00,CCC,
FP TCE_v7.44 - Bronner Brothers (2024-10-17).pdf,"Bronner Bros., Inc.",$13M,https://www.bronnerbros.com,Manufactures and distributes ethnic hair care products.,Manufactures and distributes ethnic hair care products.,3.50,CC,
FP TCE_v7.45 - Shearer Supply (2025-03-24).pdf,"Shearer Holdco, LLC",$301M,https://www.shearersupply.com/,HVAC equipment and parts distributor.,HVAC equipment and parts distributor.,4.00,CCC,
FP TCE_v6.65 - DME Express (2023-11-02).pdf,DME Express LLC 3.5 to,$47M,https://dmeexpress.com/,Providers of hospice Durable Medical Equipment,Providers of hospice Durable Medical Equipment,,,
"FP TCE_v7.45 - Bengal Grp, LLC (2025-02-02).pdf","Bengal Grp., LLC",$4.3M,https://www.bengalgrp.com/,Custom material converting and sheeting services.,Custom material converting and sheeting services.,4.00,,
FP TCE_v7.45 - 945 Industries (2025-04-18).pdf,"945 Industries, LLC",$1.8M,https://945industries.com/,plan for this startup. Business Designs and sells concealed carry gear.,plan for this startup. Business Designs and sells concealed carry gear.,4.00,,
FP TCE_v7.44 - Modular Closets (2024-11-26).pdf,"Modular Closets, LLC",$46.1M,https://www.modularclosets.com/,Designs and manufactures customizable closet systems.,Designs and manufactures customizable closet systems.,6.00,,
FP TCE_v7.45 - IMI Management (2025-01-29).pdf,"IMI Management, Inc. (IMI)",$401.9M,,since '95. Employees <20,since '95. Employees <20,5.00,,
FP TCE_v7.44 - Sannova Analytical (2024-12-31).pdf,"Sannova Topco, LLC",$8.4M,https://www.sannova.net/,Contract Research Organization for drug testing.,Contract Research Organization for drug testing.,3.00,,
FP TCE_v6.23 - Atlas Copco_v2.pdf,Atlas Copco AB,$565M,https://www.atlascopcogroup.com,Industrial Tools / Equipment Manufacturer,Industrial Tools / Equipment Manufacturer,,,
FP TCE_v7.44 - Motorvation (2024-11-19).pdf,"Motorvation, LLC --> INSOVLENT AS OF 9/24",$62.4M,https://www.motorvationtrucks.com/,Used vehicle dealership specializing in trucks.,Used vehicle dealership specializing in trucks.,2.50,,
FP TCE_v6.57 - Master_Lincoln Educational Services Corp (2023-09-21).pdf,Lincoln Educational Services Corporation,$191M,https://www.lincolntech.edu/,Provider of technical skills training,Provider of technical skills training,2.07,,
FP TCE_v6.67 - RotoRooter Plumbing & Drain Service (2024-04-16).pdf,Chemed Corporation,$2264.4M,https://chemed.com,Provides hospice care and plumbing services.,Provides hospice care and plumbing services.,,,
FP TCE_v7.44 - Florida Packaging & Graphics (2024-11-18).pdf,"FLORIDA PACKAGING & GRAPHICS, INC.",$5.0M,http://flpginc.com/,Custom packaging solutions for various industries.,Custom packaging solutions for various industries.,4.00,,
FP TCE_v7.44 - OmniMax International (2024-09-10).pdf,"OmniMax International, LLC",$478.4M,https://omnimax.com/,Manufacturer of Roofing and Drainage solutions.,Manufacturer of Roofing and Drainage solutions.,4.50,,
FP TCE_v7.45 - NVGTN (2025-02-13).pdf,"NVGTN, LLC",$67M,https://nvgtn.com/,Fitness and lifestyle apparel e-commerce brand.,Fitness and lifestyle apparel e-commerce brand.,5.50,B+,
FP TCE_v7.44 - Project Coal (2024-11-29).pdf,Martz Group (trade name - comprised of multiple separate entities),$178M,https://martzbus.com,Regional provider of transportation and tours.,Regional provider of transportation and tours.,2.00,C,
FP TCE_v7.53 - FlexCraft (2025-06-15).pdf,"FlexCraft Industries, Inc.",$2.2M,https://flexcraft.com/,Custom plastic molding for regulated industries.,Custom plastic molding for regulated industries.,4.50,,
FP TCE_v7.44 - S&S Truck Parts (2024-12-06).pdf,Ra Parent Holdings LP,$214.8M,https://www.sandstruck.com/,Distributes aftermarket medium-heavy truck parts.,Distributes aftermarket medium-heavy truck parts.,5.50,,
FP TCE_v7.52 - AlumaForm (2025-05-13).pdf,"Aluma-Form, Inc",$226.8M,https://www.alumaform.com,Engineers and manufactures utility infrastructure components.,Engineers and manufactures utility infrastructure components.,5.00,,
FP TCE_v7.44 - WTC Granite (2024-11-20).pdf,"SABBOW AND CO., INC.",$22.2M,https://phoenixprecast.com/,Manufactures precast concrete and granite memorials.,Manufactures precast concrete and granite memorials.,5.00,,
FP TCE_v7.44 - Beard Integrated Systems (2024-10-21).pdf,"Beard Integrated Systems, Inc.",$104.1M,https://beard-companies.com/,"Mechanical, electrical, and piping turnkey solutions.","Mechanical, electrical, and piping turnkey solutions.",4.50,,
FP TCE_v7.44 - Valley Forge (2024-12-30).pdf,"• Product:Specializes in upholstery fabrics, drapery, roller shades, and bedding Industry Risk Assessment KPI Rating Contribution Industry Group Description",$80M,https://www.valleyforge.com/,Sustainable textiles for the hospitality industry.,Sustainable textiles for the hospitality industry.,3.00,CC,
FP TCE_v7.45 - All Metals - PROFORMA (2025-03-20).pdf,"All Metals Industries Holdings, LLC | PROFORMA",$49M,https://allmetals.us/,Metal distributor serving industrial and commercial markets.,Metal distributor serving industrial and commercial markets.,5.00,B,
FP TCE_v7.51 - MetalTech (2025-05-05).pdf,"NFI Holdings, LLC",$101M,https://www.newburyfranklin.com/industrials,0,0,4.50,,
FP TCE_v7.44 - Traffic Control Devices (2025-01-08).pdf,"Traffic Control Devices, LLC (TCD)",$116M,http://trafficcontroldevices.com/,ITS integration and infrastructure contracting services.,ITS integration and infrastructure contracting services.,6.00,BB,
FP TCE_v7.44 - ABC Supply Corp (2024-10-08).pdf,ABC Supply Holding Corporation,$20391.1M,https://www.abcsupply.com/products/,Wholesale distributor of building and roofing materials.,Wholesale distributor of building and roofing materials.,6.00,,
FP TCE_v7.44 - ORAS Express (2024-11-28).pdf,"ORAS Express, LLC",,,,,4.00,CCC,
FP TCE_v6.65 - BES Associates (2023-12-10).pdf,BES Associates Corp,$11.6M,http://www.besmiami.com/,Glazing systems designer and manufacturer,Glazing systems designer and manufacturer,,,
FP TCE_v7.53 - Global Packaging (2025-07-23).pdf,"Global Packaging, Inc.",$109.8M,https://www.glopkg.com/,Flexible packaging manufacturer for food products.,Flexible packaging manufacturer for food products.,5.50,,
FP TCE_v7.44 - WernerAero (2024-11-22).pdf,"Werner Aero, LLC",$19.0M,https://werneraero.com/,Aviation asset management and aftermarket support.,Aviation asset management and aftermarket support.,4.00,,
FP TCE_v7.45 - Packaging By Design (2025-03-07).pdf,Bellen Container Corporation,$98M,https://packaging-by-design.com,Custom flexographic printing and flexible packaging solutions.,Custom flexographic printing and flexible packaging solutions.,2.50,C,
FP TCE_v7.51 - Olive My Pickle (2025-04-22).pdf,"Olive My Pickle, LLC (OMP)",$12M,https://www.olivemypickle.com/,Fermented foods producer and eCommerce retailer.,Fermented foods producer and eCommerce retailer.,5.00,B,
FP TCE_v7.45 - Corning Incorporated (2025-01-28).pdf,Corning Incorporated,$12822.7M,https://www.corning.com/,"Innovates glass, ceramics, and optical solutions.","Innovates glass, ceramics, and optical solutions.",5.50,,
FP TCE_v6.57 - Leading Pharma (2023-09-18).pdf,"Leading Pharma, LLC",$53M,https://www.leadingpharma.com/,Generic pharmaceutical company,Generic pharmaceutical company,,,
